Name,Tags,Address,Sign up
Jewish General Hospital,Healthcare,3755 Côte Ste-Catherine,https://www.jgh.ca/about-us/volunteering/
Royal Victoria Hospital,Healthcare,1001 Decarie Blvd,https://muhc.ca/volunteer/page/volunteer-now
Montreal Chest Institute,Healthcare,1001 Decarie Blvd,https://muhc.ca/volunteer/page/volunteer-now
Lachine Hospital,Healthcare,650 16 Ave Lachine,https://muhc.ca/volunteer/page/volunteer-now
Montreal General Hospital,Healthcare,1650 Cedar Ave,https://muhc.ca/volunteer/page/volunteer-now
Montreal Neurological Hospital,Healthcare,3801 Rue University,https://muhc.ca/volunteer/page/volunteer-now
Cadars Cancer Centre,Healthcare,1001 Decarie Blvd,https://cansupport.ca/volunteer/
Montreal Children's Hospital,Healthcare,1001 Decarie Blvd,https://www.thechildren.com/volunteer/how-apply
Centre hospitalier de l'Université de Montréal,Healthcare,1000 rue Saint-Denis,https://www.chumontreal.qc.ca/repertoire/service-benevolat-animation-loisirs/devenir-benevole-au-chum
Centre d'hébergement Émilie-Gamelin,"Healthcare, Eldercare",1440 Rue Dufresne,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Armand-Lavergne,"Healthcare, Eldercare",3500 Rue Chapleau,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Bruchési,"Healthcare, Eldercare",2225 Rue Rachel E,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Jean-de-La-Lande,"Healthcare, Eldercare",4255 Av. Papineau,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Ernest-Routhier,"Healthcare, Eldercare",2110 Rue Wolfe,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement du Manoir-de- l'Âge-d'Or,"Healthcare, Eldercare",3430 Jeanne Mance St,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Paul-Émile-Léger,"Healthcare, Eldercare",66 Boulevard René-Lévesque Est,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Hôpital chinois de Montréal,"Healthcare, Eldercare, Cultural",189 Avenue Viger E,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement des Seigneurs,"Healthcare, Eldercare",1800 Rue Saint-Jacques,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Louis-Riel,"Healthcare, Eldercare",2120 Rue Augustin-Cantin,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Réal-Morel,"Healthcare, Eldercare",3500 Rue Wellington,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Saint-Henri,"Healthcare, Eldercare",5205 R. Notre Dame O,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement du Manoir-de-Verdun,"Healthcare, Eldercare",5500 Bd LaSalle,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Yvon-Brunet,"Healthcare, Eldercare",6250 Av. Newman,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Champlain,"Healthcare, Eldercare",1325 Rue Crawford,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Hôpital de Verdun,Heathcare,4000 Bd LaSalle,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Hôpital Notre-Dame,Heathcare,1560 Rue Sherbrooke Est,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
CHSLD Jean-Hubert-Biermans,"Healthcare, Eldercare",7905 Sherbrooke St E,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Judith-Jasmin,"Healthcare, Eldercare",8850 Rue Bisaillon,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Pierre-Joseph-Triest,"Healthcare, Eldercare",4900 Bd Lapointe,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD François-Séguenot ,"Healthcare, Eldercare",13950 rue Notre-Dame Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD de Saint-Michel ,"Healthcare, Eldercare",3130 Rue Jarry Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Joseph-François-Perrault ,"Healthcare, Eldercare",7400 Boulevard Saint-Michel,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD J.-Henri Charbonneau ,"Healthcare, Eldercare",3095 Rue Sherbrooke Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Jeanne-Le Ber ,"Healthcare, Eldercare",7445 Rue Hochelaga,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Nicolet ,"Healthcare, Eldercare",2300 Rue Nicolet,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Benjamin-Victor-Rousselot ,"Healthcare, Eldercare",5655 rue Sherbrooke Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Robert-Cliche ,"Healthcare, Eldercare",3730 Rue de Bellechasse,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Marie-Rollet ,"Healthcare, Eldercare",5003 Rue Saint-Zotique Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Éloria-Lepage ,"Healthcare, Eldercare",3090 Avenue de la Pépinière,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Dante ,"Healthcare, Eldercare",6887 Rue Chatelain,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Polonais Marie-Curie Sklodowska ,"Healthcare, Eldercare",5655 Rue Bélanger,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
Maisonneuve Rosemont Hospital,Heathcare,5415 boulevard de l'Assomption,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole/devenir-benevole-en-milieu-hospitalier
Santa-Cabrini Hospital,Heathcare,5655 rue Saint-Zotique Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole/devenir-benevole-en-milieu-hospitalier
CHSLD Notre-Dame-de-la-Merci ,"Healthcare, Eldercare",555 boulevard Gouin Ouest,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/
CHSLD Laurendeau ,"Healthcare, Eldercare",1725 boulevard Gouin Est,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD Auclair ,"Healthcare, Eldercare",6910 rue Boyer,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD Légaré ,"Healthcare, Eldercare",1615 rue Émile-Journault,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD de Cartierville ,"Healthcare, Eldercare",12235 rue Grenet,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD Paul-Gouin ,"Healthcare, Eldercare",5900 rue de Saint-Vallier,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD de La Petite-Patrie ,"Healthcare, Eldercare",6767 rue Cartier,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD Paul-Lizotte ,"Healthcare, Eldercare",6850 boulevard Gouin Est,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD de Saint-Laurent ,"Healthcare, Eldercare",1275 boulevard de la Côte-Vertu,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD Saint-Joseph-de-la-Providence ,"Healthcare, Eldercare",11844 avenue du Bois-de-Boulogne,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
"CLSC d""Ahunstic ",Heathcare,1165 boulevard Henri-Bourassa Est,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CLSC de Montrél-Nord ,Heathcare,11441 boulevard Lacordaire,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CLSC de Bordeaux-Cartierville ,Heathcare,11822 avenue du Bois-de-Boulogne,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CLSC de Saint-Laurent ,Heathcare,1055 avenue Sainte-Croix,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CLSC de La Petite-Patrie ,Heathcare,6520 rue de Saint-Vallier,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CLSC de Villeray ,Heathcare,1425 rue Jarry Est,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
Hôpital du Sacré-Coeur-de-Montréal ,Heathcare,5400 boul. Gouin Ouest,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
Hôpital Jean-Talon ,Heathcare,1385 rue Jean-Talon Est,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
Hôpital Fleury ,Heathcare,2180 Rue Fleury Est,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
Hôpital Rivière-des-Prairies ,Heathcare,7070 Boulevard Perras,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
Institut de Cardiologie de Montréal,Heathcare,5000 Rue Bélanger,https://www.icm-mhi.org/fr/propos-nous/devenir-benevole
Centre Hospitalier Universitaire Sainte-Justine,Heathcare,3175 Chem. de la Côte-Sainte-Catherine,https://www.chusj.org/fr/Emplois-et-benevolat/Benevolat/Devenir-benevole;-etapes-et-informations-important
Lakeshore General Hospital,Heathcare,160 Stillview Ave,https://www.ciusss-ouestmtl.gouv.qc.ca/en/our-ciusss/volunteering/
St. Mary's Hospital Center,Heathcare,3830 Av. Lacombe,https://www.ciusss-ouestmtl.gouv.qc.ca/en/our-ciusss/volunteering/
Lasalle Hospital,Heathcare,8585 Terr. Champlain,https://www.ciusss-ouestmtl.gouv.qc.ca/en/our-ciusss/volunteering/
Sainte-Anne Hospital,"Healthcare, Eldercare",305 Boulevard des Anciens-Combattants,https://www.ciusss-ouestmtl.gouv.qc.ca/en/our-ciusss/volunteering/
Grace Dart Extended Care Centre,"Healthcare, Eldercare",5155 Sainte-Catherine East street,https://www.ciusss-ouestmtl.gouv.qc.ca/en/our-ciusss/volunteering/
CHSLD Denis-Benjamin-Viger,"Healthcare, Eldercare",3292 Cherrier street,https://www.ciusss-ouestmtl.gouv.qc.ca/en/our-ciusss/volunteering/
CHSLD Dorval,"Healthcare, Eldercare",225 De la Présentation avenue,https://www.ciusss-ouestmtl.gouv.qc.ca/en/our-ciusss/volunteering/
CHSLD Lasalle,"Healthcare, Eldercare",8686 rue Centrale,https://www.ciusss-ouestmtl.gouv.qc.ca/en/our-ciusss/volunteering/
CHSLD Lachine,"Healthcare, Eldercare",650 place d'Accueil,https://www.ciusss-ouestmtl.gouv.qc.ca/en/our-ciusss/volunteering/
CHSLD Nazaire-Piché,"Healthcare, Eldercare",150 15th avenue,https://www.ciusss-ouestmtl.gouv.qc.ca/en/our-ciusss/volunteering/
Miriam Home,"Healthcare, Eldercare",8160 chemin Royden,https://www.ciussswestcentral.ca/about-us/volunteering/
Donald Berman Jewish Eldercare Centre,"Healthcare, Eldercare",5725 Victoria Avenue,https://www.ciussswestcentral.ca/about-us/volunteering/
CLSC Benny Farm,Heathcare,6484 Monkland Ave,https://www.ciussswestcentral.ca/about-us/volunteering/
CLSC René-Cassin,Heathcare,5800 Cavendish,https://www.ciussswestcentral.ca/about-us/volunteering/
Henri-Bradet Residential Centre,"Healthcare, Eldercare",6465 Chester Avenue,https://www.ciussswestcentral.ca/about-us/volunteering/
Father-Dowd Residential Centre,"Healthcare, Eldercare",6565 Hudson Road,https://www.ciussswestcentral.ca/about-us/volunteering/
St-Andrew Residential Centre,"Healthcare, Eldercare",3350 Cavendish Blvd,https://www.ciussswestcentral.ca/about-us/volunteering/
St-Margaret Residential Centre,"Healthcare, Eldercare",50 Hillside Avenue,https://www.ciussswestcentral.ca/about-us/volunteering/
Donald Berman Maimonides Geriatric Centre,"Healthcare, Eldercare",5795 Caldwell Avenue,https://www.ciussswestcentral.ca/about-us/volunteering/
Catherine Booth Hospital,"Healthcare, Eldercare",4375 Montclair Avenue,https://www.ciussswestcentral.ca/about-us/volunteering/
Mount Sinai Hospital,"Healthcare, Eldercare",5690 Cavendish Blvd,https://www.ciussswestcentral.ca/about-us/volunteering/
Richardson Hospital,"Healthcare, Eldercare",5425 Bessborough Avenue,https://www.ciussswestcentral.ca/about-us/volunteering/
Batshaw Youth and Family Centres,"Heathcare, Social",5 Weredale Park,https://www.ciusss-ouestmtl.gouv.qc.ca/en/our-ciusss/volunteering/
Lethbridge-Layton-Mackay Rehabilitation Centre - Constance-Lethbridge Site,Heathcare,7005 de Maisonneuve Boulevard West,https://www.llmrc.ca/about-us/volunteers/
Lethbridge-Layton-Mackay Rehabilitation Centre - MAB Site ,Heathcare,7000 Sherbrooke Street West,https://www.llmrc.ca/about-us/volunteers/
Lethbridge-Layton-Mackay Rehabilitation Centre - Mackay Site,Heathcare,3500 Decarie Boulevard,https://www.llmrc.ca/about-us/volunteers/
Association Québécoise de la Fibrose Kystique,Heathcare,625 Boulevard René-Lévesque O #1105,https://www.cysticfibrosis.ca/get-involved/volunteer/volunteer-with-us
Entraide Bénévole Métro,"Heathcare, Eldercare",1801 Boul. De Maisonneuve ,https://ebmservices.org/volunteer/
Share the Warmth,Social,625 Fortune St,https://sharethewarmth.ca/volunteer/
Welcome Hall Mission - Montréal-Nord,Social,5095 boulevard Henri-Bourassa Est,https://welcomehallmission.com/volunteering/
Welcome Hall Mission - Sud Ouest,Social,4755 rue Acom,https://welcomehallmission.com/volunteering/
Welcome Hall Mission - Downtown,Social,1490 rue Saint-Antoine Ouest,https://welcomehallmission.com/volunteering/
Café-Jeunesse Multiculturel,"Social, Cultural",11121 avenue Salk,http://www.cafejeunessemulticulturel.org/impliquezvous.html
Centre des jeunes l'Escale,Social,4255 Place Hôtel-de-Ville,https://www.lescale.org/benevolat
Centre d'Initiatives Pour le Développement Communautaire l'Unité,Social,710 Décarie Blvd,https://www.centre-unite.com/?page_id=1439
École de la Relève,Social,3700 Boul Crémazie E,https://www.ecoledelareleve.ca/benevolat/
Revdec,Social,2660 Av. Letourneux,https://www.revdec.org/faire-un-don
Ruelle de l'Avenir,Social,2040 Rue Alexandre-DeSève,https://www.ruelledelavenir.org/sample-page/devenir-benevole/
Toujours Ensemble - Notre-Dane-des-Sept-Douleurs,Social,320 Rue de l'Église,https://toujoursensemble.org/devenez-benevole/
Toujours Ensemble - Lévis-Sauvé,Social,655 Rue Willibrord,https://toujoursensemble.org/devenez-benevole/
Toujours Ensemble - Monseigneur-Richard,Social,3000 bouevard Gaétan-Laberge,https://toujoursensemble.org/devenez-benevole/
Centre Jeunesse de Montréal ,Social,9335 Rue St-Hubert,https://app.smartsheet.com/b/form/02673ad99f6c4738a0f62621a5b524e1
Réfuge des Jeunes,Social,1836 Ste-Catherine St. East,https://www.refugedesjeunes.org/en/volunteering/
Resource Jeunesse de St-Laurent,Social,1550 rue Élizabeth #100,https://www.rjsl.ca/benevoles.php
Yellow Door,Social,3625 rue Aylmer,https://www.yellowdoor.org/get-involved.html
Face UP,Social,3449 University Street,http://faceupmontreal.weebly.com/volunteer-form.html
Literacy Foundation,Social,4080 Rue Wellington,https://fondationalphabetisation.org/en/get-involved/
Les Scientifines,Social,525 Dominion St.,https://scientifines.com/impliquez-vous/
Le Phare,Social,2725 Avenue du Mont-Royal E,https://phare-lighthouse.com/en/get-involved/volunteering/
McGill Childcare Centre,Social,3491 Peel Street,https://www.mcgill.ca/daycare/volunteer
Friendship Circle,Social,4585 Bourret Ave,https://www.friendshipcircle.ca/volunteer
Centre Bienvenue,Social,12694 Boul Gouin O,https://www.centrebienvenue.org/soutien
Mada Community Center,Social,"6875 Decarie Blvd, Montreal",https://www.madacentre.com/volunteer
The Depot Community Food Centre,Social,6450 Somerled Ave,https://depotmtl.org/en/volunteer/
Agence Ometz,"Social, Cultural",1 Cummings Square,https://www.ometz.ca/volunteer/
Cummings Centre,"Social, Cultural",5700 Westbury Ave,https://cummingscentre.org/volunteer/contact/application-form/
Centre Multi-ressources de Lachine FRENCH,Social,514 19e Avenue #309,https://www.cmrl.ca/benevoles?lang=en
Maison du Père,Social,550 Bd René-Lévesque Est,https://www.maisondupere.org/benevolat
Mission Old Brewery Mission,Social,915 Rue Clark,https://www.missionoldbrewery.ca/en/volunteering/
The Open Door,Social,3535 Park Ave,https://www.opendoortoday.org/volunteer/
Chez Doris,Social,1430 Rue Chomedey,https://www.chezdoris.org/impliquez-vous/benevolat/
La rue des Femmes,Social,1050 rue Jeanne-Mance,https://www.laruedesfemmes.org/devenir-benevole/
Saint Michael's Mission,Social,137 Président Kennedy,https://stmichaelsmission.ca/volunteering/
Afrique au Feminin,"Social, Cultural",7000 Park Ave,https://www.afriqueaufeminin.org/inscription-benevolat/
The Caring House of St. Paul & Émard,Social,5999 Rue Drake,https://maison-entraide.org/maison-dentraide/les-benevoles/
Épicentre Saint-Henri,Social,4561 Rue Notre-Dame Ouest,https://epicentresthenri.org/b%C3%A9n%C3%A9vole
Moisson Montréal,Social,6880 Chem. de la Côte de Liesse,https://www.moissonmontreal.org/simpliquer/benevolat-a-moisson-montreal/
Sun Youth Organization,Social,6700 Av du Parc suite 100,https://sunyouth.org/become-a-volunteer/
Extended Hands,Social,"1810 Rue Saint Antoine, Lachine",https://www.extendedhands.net/index.php?option=com_sppagebuilder&view=page&id=5&Itemid=541
The People's Potato,Social,1455 Boul. de Maisonneuve Ouest,https://www.peoplespotato.com/volunteering.html
Cuisine Collective Hochelaga-Maisonneuve ,Social,3568 Rue Adam,https://lacchm.com/fr/recrutement
On Rock Ministries Community Services,Social,"9554 Boulevard Gouin Ouest, Pierrefonds",https://onrock.org/volunteer
Meals on Wheels,Social,111 Roy East,https://santropolroulant.org/en/volunteer-with-us/new-volunteer-form/